                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.53283,                0.28452,                0.97578,                0.98269,                0.99119,                0.99189,                 0.8749,                0.55181,                0.23514,                0.93562,             0.00035106,             0.00035106,             0.00035106
                    126,                0.53929,                0.28474,                0.98214,                0.97884,                0.99315,                0.99257,                0.86268,                0.55509,                 0.2341,                0.93735,             0.00034656,             0.00034656,             0.00034656
                    127,                0.53371,                0.28418,                0.97814,                0.98498,                0.99331,                0.99236,                0.84769,                0.56423,                0.22799,                 0.9471,             0.00034206,             0.00034206,             0.00034206
                    128,                0.53813,                 0.2875,                0.98355,                0.98786,                0.99222,                0.99221,                 0.8607,                0.55965,                0.22929,                0.95114,             0.00033756,             0.00033756,             0.00033756
                    129,                0.53707,                0.28867,                0.97918,                0.97896,                0.99331,                0.99188,                0.85765,                0.56101,                0.23655,                0.94698,             0.00033306,             0.00033306,             0.00033306
                    130,                0.54419,                 0.2999,                0.98739,                0.98629,                0.99052,                0.99164,                0.85606,                0.56262,                0.23107,                0.94847,             0.00032856,             0.00032856,             0.00032856
                    131,                 0.5365,                0.28078,                0.98725,                0.98413,                0.99234,                0.99259,                 0.8541,                0.56838,                0.23274,                0.95098,             0.00032406,             0.00032406,             0.00032406
                    132,                  0.532,                0.28605,                0.99916,                0.98497,                0.99354,                0.99199,                0.87133,                0.56705,                0.22912,                0.94935,             0.00031956,             0.00031956,             0.00031956
                    133,                0.55822,                0.34025,                0.99874,                0.98919,                 0.9938,                0.99285,                0.86506,                 0.5681,                0.22901,                0.95393,             0.00031506,             0.00031506,             0.00031506
                    134,                0.52707,                0.27575,                0.97667,                0.98006,                0.99339,                0.99263,                 0.8485,                0.56816,                0.22978,                0.94961,             0.00031056,             0.00031056,             0.00031056
                    135,                 0.5283,                0.28139,                0.97571,                 0.9821,                0.99331,                0.99197,                0.85473,                0.56083,                0.22733,                0.94677,             0.00030606,             0.00030606,             0.00030606
                    136,                0.53278,                0.28631,                0.98071,                0.98395,                0.99366,                0.99222,                0.86386,                0.56198,                 0.2292,                0.94159,             0.00030156,             0.00030156,             0.00030156
                    137,                0.53057,                0.28209,                0.97675,                0.98003,                0.99331,                0.99228,                0.85759,                0.56157,                0.23107,                0.94337,             0.00029706,             0.00029706,             0.00029706
                    138,                  0.526,                0.28041,                0.97739,                0.98197,                0.99113,                0.99241,                0.85839,                0.55342,                0.22635,                0.93912,             0.00029256,             0.00029256,             0.00029256
                    139,                0.52515,                0.27668,                0.98127,                0.97443,                0.99331,                0.99161,                0.85107,                0.55947,                0.22186,                 0.9418,             0.00028806,             0.00028806,             0.00028806
                    140,                0.53789,                0.30452,                0.98792,                0.98272,                0.99331,                0.99184,                0.86222,                0.55693,                0.22862,                0.94345,             0.00028356,             0.00028356,             0.00028356
                    141,                0.52517,                0.26961,                0.97679,                0.98041,                0.99248,                0.99205,                 0.8522,                0.55443,                0.23032,                0.94423,             0.00027906,             0.00027906,             0.00027906
                    142,                0.52469,                 0.2782,                  0.985,                0.97893,                0.99232,                0.99177,                0.84946,                0.56298,                0.23106,                0.94394,             0.00027456,             0.00027456,             0.00027456
                    143,                0.53402,                0.27612,                0.98206,                0.98315,                0.99331,                0.99144,                 0.8533,                0.55762,                0.22479,                0.93741,             0.00027006,             0.00027006,             0.00027006
                    144,                0.50376,                0.27492,                 0.9661,                0.98034,                0.99302,                 0.9914,                0.85421,                0.55651,                0.22289,                 0.9422,             0.00026556,             0.00026556,             0.00026556
                    145,                0.51866,                0.27503,                0.96992,                0.98084,                0.99331,                0.99191,                0.85854,                0.55076,                0.22123,                0.94023,             0.00026106,             0.00026106,             0.00026106
                    146,                0.52352,                 0.2831,                0.97824,                0.97632,                0.99331,                0.99117,                0.85234,                0.56343,                0.22373,                0.94133,             0.00025657,             0.00025657,             0.00025657
                    147,                 0.5161,                0.26495,                0.97053,                0.97867,                 0.9931,                0.99172,                0.84873,                0.56728,                0.22354,                0.94723,             0.00025207,             0.00025207,             0.00025207
                    148,                0.51412,                0.28839,                0.97252,                0.98547,                0.98999,                0.99201,                0.85011,                0.55698,                 0.2182,                0.94444,             0.00024757,             0.00024757,             0.00024757
                    149,                0.52207,                0.27486,                0.97161,                0.97877,                0.99004,                0.99146,                0.85078,                0.57101,                0.22778,                  0.954,             0.00024307,             0.00024307,             0.00024307
                    150,                0.51961,                0.27141,                0.99093,                0.98599,                0.99331,                0.99224,                0.84928,                 0.5626,                0.22296,                0.94699,             0.00023857,             0.00023857,             0.00023857
                    151,                0.50762,                0.26358,                 0.9726,                0.98204,                0.99154,                0.99102,                0.85189,                0.56258,                0.22342,                0.94173,             0.00023407,             0.00023407,             0.00023407
                    152,                0.51202,                0.27406,                 0.9771,                0.98542,                0.98996,                0.99123,                0.84197,                 0.5578,                0.22612,                0.94221,             0.00022957,             0.00022957,             0.00022957
                    153,                0.51543,                 0.2679,                 0.9743,                0.98019,                0.99314,                0.99068,                0.84407,                0.56185,                0.22287,                0.94314,             0.00022507,             0.00022507,             0.00022507
                    154,                0.52733,                0.27448,                 0.9865,                0.98692,                0.99222,                 0.9908,                0.85314,                0.55698,                 0.2162,                0.94306,             0.00022057,             0.00022057,             0.00022057
